epoch: 0	train ppl: 505.3959096307604	val ppl: 314.1022331549565	best val: 314.1022331549565	time (s) spent in epoch: 387.48692870140076
epoch: 1	train ppl: 297.39631433924797	val ppl: 249.65030681985186	best val: 249.65030681985186	time (s) spent in epoch: 386.46281242370605
epoch: 2	train ppl: 241.59865120558905	val ppl: 223.68503223574092	best val: 223.68503223574092	time (s) spent in epoch: 386.7974433898926
epoch: 3	train ppl: 209.29102174983612	val ppl: 201.85242403816187	best val: 201.85242403816187	time (s) spent in epoch: 388.2410361766815
epoch: 4	train ppl: 186.57707044746877	val ppl: 190.79487196291723	best val: 190.79487196291723	time (s) spent in epoch: 389.4312860965729
epoch: 5	train ppl: 169.16893536059777	val ppl: 182.40088180506237	best val: 182.40088180506237	time (s) spent in epoch: 389.3776664733887
epoch: 6	train ppl: 155.35586482412705	val ppl: 173.90594211325867	best val: 173.90594211325867	time (s) spent in epoch: 389.4005527496338
epoch: 7	train ppl: 143.55397684131572	val ppl: 167.66160966571098	best val: 167.66160966571098	time (s) spent in epoch: 389.5161542892456
epoch: 8	train ppl: 133.40826941154617	val ppl: 163.9983039503146	best val: 163.9983039503146	time (s) spent in epoch: 389.5729036331177
epoch: 9	train ppl: 124.8726738678169	val ppl: 160.6459717804886	best val: 160.6459717804886	time (s) spent in epoch: 389.4747049808502
epoch: 10	train ppl: 117.43718033724579	val ppl: 157.99607778841903	best val: 157.99607778841903	time (s) spent in epoch: 389.4467146396637
epoch: 11	train ppl: 110.72371574346822	val ppl: 157.31371535169313	best val: 157.31371535169313	time (s) spent in epoch: 389.4396433830261
epoch: 12	train ppl: 104.78945561383487	val ppl: 155.96652490671642	best val: 155.96652490671642	time (s) spent in epoch: 389.5228054523468
epoch: 13	train ppl: 99.21659190645215	val ppl: 154.5192163646381	best val: 154.5192163646381	time (s) spent in epoch: 389.52440309524536
epoch: 14	train ppl: 94.27148779566642	val ppl: 154.65741925351426	best val: 154.5192163646381	time (s) spent in epoch: 388.7509481906891
epoch: 15	train ppl: 89.66951826430059	val ppl: 154.0259977802116	best val: 154.0259977802116	time (s) spent in epoch: 388.6815059185028
epoch: 16	train ppl: 85.66230850642276	val ppl: 153.65827353809138	best val: 153.65827353809138	time (s) spent in epoch: 389.5963385105133
epoch: 17	train ppl: 81.85085785104941	val ppl: 154.9765101376051	best val: 153.65827353809138	time (s) spent in epoch: 389.6236689090729
epoch: 18	train ppl: 78.16742606062584	val ppl: 156.62274490314658	best val: 153.65827353809138	time (s) spent in epoch: 389.8349664211273
epoch: 19	train ppl: 74.91746300438216	val ppl: 156.4443457976701	best val: 153.65827353809138	time (s) spent in epoch: 391.6592423915863
epoch: 20	train ppl: 71.89028345698233	val ppl: 158.55379338874434	best val: 153.65827353809138	time (s) spent in epoch: 392.91658091545105
epoch: 21	train ppl: 68.98160286466059	val ppl: 158.7927411276603	best val: 153.65827353809138	time (s) spent in epoch: 392.8966062068939
epoch: 22	train ppl: 66.354622704236	val ppl: 160.98981735932648	best val: 153.65827353809138	time (s) spent in epoch: 392.8779044151306
epoch: 23	train ppl: 63.78726370408002	val ppl: 162.78500637509148	best val: 153.65827353809138	time (s) spent in epoch: 393.2768495082855
epoch: 24	train ppl: 61.543832532301955	val ppl: 165.02088170253725	best val: 153.65827353809138	time (s) spent in epoch: 393.8488597869873
epoch: 25	train ppl: 59.21762988269699	val ppl: 165.87129079496842	best val: 153.65827353809138	time (s) spent in epoch: 393.8417880535126
epoch: 26	train ppl: 57.008508366177416	val ppl: 169.3224344274645	best val: 153.65827353809138	time (s) spent in epoch: 392.6193401813507
epoch: 27	train ppl: 55.1474092781905	val ppl: 171.84407131648774	best val: 153.65827353809138	time (s) spent in epoch: 393.5482246875763
epoch: 28	train ppl: 53.268674173173814	val ppl: 173.41292924136795	best val: 153.65827353809138	time (s) spent in epoch: 393.9203019142151
epoch: 29	train ppl: 51.541888337637744	val ppl: 177.52845866773077	best val: 153.65827353809138	time (s) spent in epoch: 393.8099641799927
epoch: 30	train ppl: 49.898387120869685	val ppl: 178.1591546533713	best val: 153.65827353809138	time (s) spent in epoch: 393.83126044273376
epoch: 31	train ppl: 48.36334451612815	val ppl: 181.22717987078775	best val: 153.65827353809138	time (s) spent in epoch: 393.35074257850647
epoch: 32	train ppl: 46.89466377459846	val ppl: 185.6361103164255	best val: 153.65827353809138	time (s) spent in epoch: 392.9208650588989
epoch: 33	train ppl: 45.54077029342775	val ppl: 185.9216685481794	best val: 153.65827353809138	time (s) spent in epoch: 393.93668127059937
epoch: 34	train ppl: 44.28632768418843	val ppl: 189.85147749152657	best val: 153.65827353809138	time (s) spent in epoch: 393.9484295845032
epoch: 35	train ppl: 43.080131505480885	val ppl: 191.45953103198934	best val: 153.65827353809138	time (s) spent in epoch: 393.8773386478424
epoch: 36	train ppl: 42.04141008348725	val ppl: 195.27891977682359	best val: 153.65827353809138	time (s) spent in epoch: 393.9299054145813
epoch: 37	train ppl: 40.905404635609706	val ppl: 197.1711648101309	best val: 153.65827353809138	time (s) spent in epoch: 393.2671706676483
epoch: 38	train ppl: 39.889262125046145	val ppl: 200.93319949849263	best val: 153.65827353809138	time (s) spent in epoch: 391.2119846343994
epoch: 39	train ppl: 38.99374567353235	val ppl: 202.618078589737	best val: 153.65827353809138	time (s) spent in epoch: 391.1358435153961
