epoch: 0	train ppl: 366.9364115079838	val ppl: 202.13692776837564	best val: 202.13692776837564	time (s) spent in epoch: 51.176472902297974
epoch: 1	train ppl: 152.1588373518199	val ppl: 159.28387368952804	best val: 159.28387368952804	time (s) spent in epoch: 51.171653032302856
epoch: 2	train ppl: 107.52600107568266	val ppl: 144.11049611127282	best val: 144.11049611127282	time (s) spent in epoch: 51.21805763244629
epoch: 3	train ppl: 84.81504102946795	val ppl: 142.66630989324278	best val: 142.66630989324278	time (s) spent in epoch: 51.13803148269653
epoch: 4	train ppl: 70.28471289502026	val ppl: 143.8658344442804	best val: 142.66630989324278	time (s) spent in epoch: 51.03959822654724
epoch: 5	train ppl: 60.02159000002327	val ppl: 148.51246782352078	best val: 142.66630989324278	time (s) spent in epoch: 51.00293040275574
epoch: 6	train ppl: 52.31089511606076	val ppl: 155.01808061612388	best val: 142.66630989324278	time (s) spent in epoch: 51.06737995147705
epoch: 7	train ppl: 46.27609092622821	val ppl: 163.83576543020752	best val: 142.66630989324278	time (s) spent in epoch: 51.050665616989136
epoch: 8	train ppl: 41.414535901235446	val ppl: 172.7101293299522	best val: 142.66630989324278	time (s) spent in epoch: 51.01880955696106
epoch: 9	train ppl: 37.473156457853435	val ppl: 180.77521075824734	best val: 142.66630989324278	time (s) spent in epoch: 51.04167079925537
epoch: 10	train ppl: 34.227889815313915	val ppl: 192.6277714743357	best val: 142.66630989324278	time (s) spent in epoch: 51.01287078857422
epoch: 11	train ppl: 31.450233596734698	val ppl: 201.397469811469	best val: 142.66630989324278	time (s) spent in epoch: 50.94305181503296
epoch: 12	train ppl: 29.23912826116376	val ppl: 213.17411512178924	best val: 142.66630989324278	time (s) spent in epoch: 50.98379325866699
epoch: 13	train ppl: 27.337373543625826	val ppl: 223.47789747874845	best val: 142.66630989324278	time (s) spent in epoch: 50.96830463409424
epoch: 14	train ppl: 25.658883347287563	val ppl: 233.66661102244274	best val: 142.66630989324278	time (s) spent in epoch: 50.97632455825806
epoch: 15	train ppl: 24.208434135482747	val ppl: 243.84812983763234	best val: 142.66630989324278	time (s) spent in epoch: 51.02928924560547
epoch: 16	train ppl: 22.896516073103502	val ppl: 254.14366129708154	best val: 142.66630989324278	time (s) spent in epoch: 50.99474024772644
epoch: 17	train ppl: 21.773066354973913	val ppl: 264.63173739486	best val: 142.66630989324278	time (s) spent in epoch: 50.94474720954895
epoch: 18	train ppl: 20.78507601317212	val ppl: 277.17120076812694	best val: 142.66630989324278	time (s) spent in epoch: 50.983033180236816
epoch: 19	train ppl: 19.88221129616911	val ppl: 287.79085209399716	best val: 142.66630989324278	time (s) spent in epoch: 50.96874952316284
epoch: 20	train ppl: 19.046318721378128	val ppl: 298.929663417906	best val: 142.66630989324278	time (s) spent in epoch: 50.97125506401062
epoch: 21	train ppl: 18.382183553507573	val ppl: 307.6291070799293	best val: 142.66630989324278	time (s) spent in epoch: 50.936118602752686
epoch: 22	train ppl: 17.734329422359068	val ppl: 319.80566580312006	best val: 142.66630989324278	time (s) spent in epoch: 50.92781114578247
epoch: 23	train ppl: 17.156444756582275	val ppl: 327.8339112598209	best val: 142.66630989324278	time (s) spent in epoch: 50.899561405181885
epoch: 24	train ppl: 16.563343843138455	val ppl: 345.5997360296809	best val: 142.66630989324278	time (s) spent in epoch: 50.95458459854126
epoch: 25	train ppl: 16.108150519314826	val ppl: 356.0818020536751	best val: 142.66630989324278	time (s) spent in epoch: 50.98008704185486
epoch: 26	train ppl: 15.64644014310636	val ppl: 365.7839199278971	best val: 142.66630989324278	time (s) spent in epoch: 50.93101668357849
epoch: 27	train ppl: 15.23401182548358	val ppl: 377.67089629393047	best val: 142.66630989324278	time (s) spent in epoch: 50.89939594268799
epoch: 28	train ppl: 14.820564444394018	val ppl: 382.4120043550481	best val: 142.66630989324278	time (s) spent in epoch: 50.948328733444214
epoch: 29	train ppl: 14.52701870738847	val ppl: 400.34393871494245	best val: 142.66630989324278	time (s) spent in epoch: 50.91808271408081
epoch: 30	train ppl: 14.166290770215053	val ppl: 407.90772539761485	best val: 142.66630989324278	time (s) spent in epoch: 50.92390322685242
epoch: 31	train ppl: 13.878193589496089	val ppl: 422.0440234772306	best val: 142.66630989324278	time (s) spent in epoch: 50.94961500167847
epoch: 32	train ppl: 13.56523822871898	val ppl: 424.1616496090031	best val: 142.66630989324278	time (s) spent in epoch: 50.9453239440918
epoch: 33	train ppl: 13.269435080096192	val ppl: 439.2873647480023	best val: 142.66630989324278	time (s) spent in epoch: 50.8978316783905
epoch: 34	train ppl: 13.038045726959059	val ppl: 450.8219941308124	best val: 142.66630989324278	time (s) spent in epoch: 50.91392111778259
epoch: 35	train ppl: 12.79280625468824	val ppl: 461.28318237845934	best val: 142.66630989324278	time (s) spent in epoch: 50.87411165237427
epoch: 36	train ppl: 12.55134174382218	val ppl: 477.41300708110697	best val: 142.66630989324278	time (s) spent in epoch: 50.90525531768799
epoch: 37	train ppl: 12.371201747484829	val ppl: 481.56120433666695	best val: 142.66630989324278	time (s) spent in epoch: 50.907981395721436
epoch: 38	train ppl: 12.171877063615767	val ppl: 494.0067688064851	best val: 142.66630989324278	time (s) spent in epoch: 50.893858432769775
epoch: 39	train ppl: 12.002155463345474	val ppl: 503.31545752249394	best val: 142.66630989324278	time (s) spent in epoch: 50.89825201034546
