epoch: 0	train ppl: 431.62504235757507	val ppl: 250.94526114101131	best val: 250.94526114101131	time (s) spent in epoch: 655.6528081893921
epoch: 1	train ppl: 227.583430066021	val ppl: 182.4110931350445	best val: 182.4110931350445	time (s) spent in epoch: 656.2791392803192
epoch: 2	train ppl: 175.79522662210883	val ppl: 156.97934696131182	best val: 156.97934696131182	time (s) spent in epoch: 656.7085056304932
epoch: 3	train ppl: 146.39372039741545	val ppl: 142.437337709549	best val: 142.437337709549	time (s) spent in epoch: 657.108978509903
epoch: 4	train ppl: 125.97778351466957	val ppl: 130.85845196012372	best val: 130.85845196012372	time (s) spent in epoch: 655.9514894485474
epoch: 5	train ppl: 111.37314431600613	val ppl: 129.98627869416165	best val: 129.98627869416165	time (s) spent in epoch: 655.5887496471405
epoch: 6	train ppl: 99.85242935238934	val ppl: 121.39233813444407	best val: 121.39233813444407	time (s) spent in epoch: 653.9823529720306
epoch: 7	train ppl: 90.52752442917597	val ppl: 120.277724168039	best val: 120.277724168039	time (s) spent in epoch: 653.2122116088867
epoch: 8	train ppl: 82.7510298314865	val ppl: 118.63373867409791	best val: 118.63373867409791	time (s) spent in epoch: 653.3164165019989
epoch: 9	train ppl: 76.11694362265315	val ppl: 119.5604523976778	best val: 118.63373867409791	time (s) spent in epoch: 653.2236769199371
epoch: 10	train ppl: 70.63735603295434	val ppl: 121.25055151224844	best val: 118.63373867409791	time (s) spent in epoch: 653.6128225326538
epoch: 11	train ppl: 65.70319181206284	val ppl: 120.83147183144844	best val: 118.63373867409791	time (s) spent in epoch: 653.4079787731171
epoch: 12	train ppl: 61.58235274044664	val ppl: 121.37110902505772	best val: 118.63373867409791	time (s) spent in epoch: 656.2905201911926
epoch: 13	train ppl: 57.87827124106596	val ppl: 122.31718627936527	best val: 118.63373867409791	time (s) spent in epoch: 656.5922012329102
epoch: 14	train ppl: 54.77035188147415	val ppl: 122.95850020946664	best val: 118.63373867409791	time (s) spent in epoch: 656.3465328216553
epoch: 15	train ppl: 49.44391667769688	val ppl: 122.39931256250787	best val: 118.63373867409791	time (s) spent in epoch: 656.3866267204285
epoch: 16	train ppl: 42.931532446696885	val ppl: 121.9044730387071	best val: 118.63373867409791	time (s) spent in epoch: 656.2862491607666
epoch: 17	train ppl: 37.332276900935916	val ppl: 122.95035632882391	best val: 118.63373867409791	time (s) spent in epoch: 656.446879863739
epoch: 18	train ppl: 33.519755752018966	val ppl: 123.04988472387167	best val: 118.63373867409791	time (s) spent in epoch: 656.3915090560913
epoch: 19	train ppl: 31.57011539185971	val ppl: 120.54084735869066	best val: 118.63373867409791	time (s) spent in epoch: 656.4007954597473
epoch: 20	train ppl: 31.057802970470757	val ppl: 118.08481347475337	best val: 118.08481347475337	time (s) spent in epoch: 656.3379397392273
epoch: 21	train ppl: 31.040713809545768	val ppl: 116.87501686879507	best val: 116.87501686879507	time (s) spent in epoch: 656.3649225234985
epoch: 22	train ppl: 31.10139006611104	val ppl: 116.6340502515383	best val: 116.6340502515383	time (s) spent in epoch: 656.5917479991913
epoch: 23	train ppl: 31.108976505401518	val ppl: 116.47049179971485	best val: 116.47049179971485	time (s) spent in epoch: 656.5597023963928
epoch: 24	train ppl: 31.15186623446855	val ppl: 116.41768123057135	best val: 116.41768123057135	time (s) spent in epoch: 656.5580198764801
epoch: 25	train ppl: 31.054781259541535	val ppl: 116.4087569357388	best val: 116.4087569357388	time (s) spent in epoch: 656.4892363548279
epoch: 26	train ppl: 31.114618549109554	val ppl: 116.40695690383698	best val: 116.40695690383698	time (s) spent in epoch: 656.436812877655
epoch: 27	train ppl: 31.064205351630257	val ppl: 116.40672619062134	best val: 116.40672619062134	time (s) spent in epoch: 656.2126972675323
epoch: 28	train ppl: 31.030199359694194	val ppl: 116.40676130733334	best val: 116.40672619062134	time (s) spent in epoch: 654.7638466358185
epoch: 29	train ppl: 31.150640597480685	val ppl: 116.4067643281263	best val: 116.40672619062134	time (s) spent in epoch: 654.6285879611969
epoch: 30	train ppl: 31.090820288953072	val ppl: 116.4067643281263	best val: 116.40672619062134	time (s) spent in epoch: 656.6320259571075
epoch: 31	train ppl: 31.051195519082743	val ppl: 116.40676244013065	best val: 116.40672619062134	time (s) spent in epoch: 654.9678256511688
epoch: 32	train ppl: 31.0473284754558	val ppl: 116.40676055213514	best val: 116.40672619062134	time (s) spent in epoch: 653.9678494930267
epoch: 33	train ppl: 31.08519375527678	val ppl: 116.40676055213514	best val: 116.40672619062134	time (s) spent in epoch: 653.4961225986481
epoch: 34	train ppl: 31.10073787886382	val ppl: 116.40676055213514	best val: 116.40672619062134	time (s) spent in epoch: 653.6416540145874
epoch: 35	train ppl: 31.02677540689957	val ppl: 116.40676055213514	best val: 116.40672619062134	time (s) spent in epoch: 653.5872626304626
epoch: 36	train ppl: 31.094986537454126	val ppl: 116.40676055213514	best val: 116.40672619062134	time (s) spent in epoch: 653.7040531635284
epoch: 37	train ppl: 31.117091316646043	val ppl: 116.40676055213514	best val: 116.40672619062134	time (s) spent in epoch: 653.5203924179077
epoch: 38	train ppl: 31.103820184026084	val ppl: 116.40676055213514	best val: 116.40672619062134	time (s) spent in epoch: 653.5480570793152
epoch: 39	train ppl: 31.067648424519636	val ppl: 116.40676055213514	best val: 116.40672619062134	time (s) spent in epoch: 653.6994891166687
