epoch: 0	train ppl: 409.8999507596602	val ppl: 283.45066257586166	best val: 283.45066257586166	time (s) spent in epoch: 454.3794639110565
epoch: 1	train ppl: 223.43195201962936	val ppl: 222.95496729081822	best val: 222.95496729081822	time (s) spent in epoch: 454.28505873680115
epoch: 2	train ppl: 172.02134654250145	val ppl: 198.66759875040262	best val: 198.66759875040262	time (s) spent in epoch: 454.059207201004
epoch: 3	train ppl: 141.51530313933375	val ppl: 185.94604165136556	best val: 185.94604165136556	time (s) spent in epoch: 453.8631896972656
epoch: 4	train ppl: 119.91737597481087	val ppl: 182.50602656823048	best val: 182.50602656823048	time (s) spent in epoch: 453.86402344703674
epoch: 5	train ppl: 103.6343962728207	val ppl: 176.957860217518	best val: 176.957860217518	time (s) spent in epoch: 453.8635346889496
epoch: 6	train ppl: 90.26376144729402	val ppl: 172.29753503210725	best val: 172.29753503210725	time (s) spent in epoch: 453.91965436935425
epoch: 7	train ppl: 79.18722525146143	val ppl: 172.52043723850505	best val: 172.29753503210725	time (s) spent in epoch: 453.91353011131287
epoch: 8	train ppl: 69.84238518186743	val ppl: 174.58741925741901	best val: 172.29753503210725	time (s) spent in epoch: 453.87624192237854
epoch: 9	train ppl: 61.698650721690676	val ppl: 177.8049655486115	best val: 172.29753503210725	time (s) spent in epoch: 453.89132142066956
epoch: 10	train ppl: 54.68720566483164	val ppl: 181.77571779612475	best val: 172.29753503210725	time (s) spent in epoch: 453.87877011299133
epoch: 11	train ppl: 48.56778647471523	val ppl: 186.74767453115072	best val: 172.29753503210725	time (s) spent in epoch: 453.8708703517914
epoch: 12	train ppl: 43.19608374155626	val ppl: 192.0594974665074	best val: 172.29753503210725	time (s) spent in epoch: 453.91376280784607
epoch: 13	train ppl: 38.425167615787984	val ppl: 198.50143600891215	best val: 172.29753503210725	time (s) spent in epoch: 453.8812532424927
epoch: 14	train ppl: 34.2201309767917	val ppl: 204.6857959653172	best val: 172.29753503210725	time (s) spent in epoch: 453.9178977012634
epoch: 15	train ppl: 30.56498099051644	val ppl: 212.2247013011252	best val: 172.29753503210725	time (s) spent in epoch: 453.8945951461792
epoch: 16	train ppl: 27.33793647772539	val ppl: 223.34455132841893	best val: 172.29753503210725	time (s) spent in epoch: 453.9142589569092
epoch: 17	train ppl: 24.47816463754303	val ppl: 234.3397279824301	best val: 172.29753503210725	time (s) spent in epoch: 453.912207365036
epoch: 18	train ppl: 21.956427592586365	val ppl: 246.38490333693557	best val: 172.29753503210725	time (s) spent in epoch: 453.8597192764282
epoch: 19	train ppl: 19.74514783191403	val ppl: 258.14256976509927	best val: 172.29753503210725	time (s) spent in epoch: 453.8520083427429
epoch: 20	train ppl: 17.80914941765095	val ppl: 266.9827301008429	best val: 172.29753503210725	time (s) spent in epoch: 453.87651896476746
epoch: 21	train ppl: 16.09462759149503	val ppl: 275.9433455741303	best val: 172.29753503210725	time (s) spent in epoch: 453.88004660606384
epoch: 22	train ppl: 14.59374411739219	val ppl: 287.1983674357302	best val: 172.29753503210725	time (s) spent in epoch: 453.8770911693573
epoch: 23	train ppl: 13.261952909120954	val ppl: 300.70962294169675	best val: 172.29753503210725	time (s) spent in epoch: 453.8891463279724
epoch: 24	train ppl: 12.065770741208015	val ppl: 315.43341738182716	best val: 172.29753503210725	time (s) spent in epoch: 453.8680431842804
epoch: 25	train ppl: 11.020046927634779	val ppl: 331.82188265078275	best val: 172.29753503210725	time (s) spent in epoch: 453.91264057159424
epoch: 26	train ppl: 10.107013105856296	val ppl: 350.9678971238171	best val: 172.29753503210725	time (s) spent in epoch: 453.86580061912537
epoch: 27	train ppl: 9.298136224960054	val ppl: 373.16037003396264	best val: 172.29753503210725	time (s) spent in epoch: 453.8777759075165
epoch: 28	train ppl: 8.587804547373944	val ppl: 397.4325749312875	best val: 172.29753503210725	time (s) spent in epoch: 453.92839908599854
epoch: 29	train ppl: 7.969567483747947	val ppl: 423.28908157952696	best val: 172.29753503210725	time (s) spent in epoch: 453.8671681880951
epoch: 30	train ppl: 7.436317854801511	val ppl: 448.6330592071254	best val: 172.29753503210725	time (s) spent in epoch: 453.93001890182495
epoch: 31	train ppl: 6.969333887044047	val ppl: 470.6780006406351	best val: 172.29753503210725	time (s) spent in epoch: 453.9051203727722
epoch: 32	train ppl: 6.5450434348109505	val ppl: 495.4583960288681	best val: 172.29753503210725	time (s) spent in epoch: 453.8887937068939
epoch: 33	train ppl: 6.158549802575551	val ppl: 525.3922442034265	best val: 172.29753503210725	time (s) spent in epoch: 453.9102201461792
epoch: 34	train ppl: 5.8111386383161525	val ppl: 557.537188611314	best val: 172.29753503210725	time (s) spent in epoch: 453.89989852905273
epoch: 35	train ppl: 5.510141451249606	val ppl: 593.7129691993009	best val: 172.29753503210725	time (s) spent in epoch: 453.9373896121979
epoch: 36	train ppl: 5.239112963864261	val ppl: 626.2902363487876	best val: 172.29753503210725	time (s) spent in epoch: 453.90173625946045
epoch: 37	train ppl: 4.9987716496543335	val ppl: 663.3578718821227	best val: 172.29753503210725	time (s) spent in epoch: 453.9324688911438
epoch: 38	train ppl: 4.7942727946744	val ppl: 704.7085557171249	best val: 172.29753503210725	time (s) spent in epoch: 453.9011437892914
epoch: 39	train ppl: 4.5849072599200955	val ppl: 743.9638942957822	best val: 172.29753503210725	time (s) spent in epoch: 453.90308237075806
